dataset,source_model,seed,layer,checkpoint,checkpoint_sha256,probe_split,N,T,D,coordinate_system,offline_only,family,condition,alpha,scale_mode,mean_abs_g,rms_g,l2_norm_all_T_N_D,mean_per_sample_timestep_l2,exact_zero_fraction,near_zero_fraction,temporal_gate_cosine,adjacent_timestep_cosine,norm_cv_over_time,gate_temporal_variance,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,normalized_entropy_effective_rank,source_file
N-MNIST,SNN-DFA,20260901,H1,completed_epoch_100,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0,0.0,global_frobenius_norm_matched,0.0129845715701086,0.0659849421825243,231.3052242498822,1.805772473569588,0.0,0.0,0.0581362098455429,0.1064368299023559,0.2044666218221333,0.0039513325854116,128,333,463,562,692,49.5920722082469,6.156307662460865,471.6832418205877,0.5896040522757346,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=32
N-MNIST,SNN-DFA,20260901,H1,completed_epoch_100,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.25,0.25,global_frobenius_norm_matched,0.0167372679859408,0.0660460416471345,231.51940380200568,1.8076391474517497,0.0,0.0,0.1224961876869201,0.1672028546990256,0.1991097885830643,0.0036930059146683,116,322,453,555,690,32.43790336663201,6.0555223264560105,426.4615994659312,0.5330769993324139,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=33
N-MNIST,SNN-DFA,20260901,H1,completed_epoch_100,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.5,0.5,global_frobenius_norm_matched,0.0229923486634512,0.0660302988952491,231.4642187759324,1.8091623152165088,0.0,0.0,0.265798807144165,0.3030216326778819,0.1809523424130047,0.0030973837737153,84,289,426,535,681,18.509384577060064,5.767065253803282,319.59841475953897,0.3994980184494237,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=34
N-MNIST,SNN-DFA,20260901,H1,completed_epoch_100,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.75,0.75,global_frobenius_norm_matched,0.0336281167790114,0.0660101518234674,231.3935947395722,1.8132467127837133,0.0,0.0,0.6039078235626221,0.6240040757174922,0.1199823442792458,0.0016564313753363,14,164,314,445,642,9.445060827960084,4.860723916777043,129.1176387080092,0.1613970483850114,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=35
N-MNIST,SNN-DFA,20260901,H1,completed_epoch_100,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_1,1.0,global_frobenius_norm_matched,0.0427100517428762,0.0660058621557278,231.37855763376004,1.8098650848333544,0.0,0.0,1.0,0.9999999999988298,0.0,0.0,5,22,46,75,155,6.30128364158433,3.4565029216088314,31.705904380802423,0.039632380476003,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=36
N-MNIST,SNN-DFA,20260901,H2,completed_epoch_100,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0,0.0,global_frobenius_norm_matched,0.0186192920542552,0.0796819855352072,279.3191737883867,2.138506678302862,0.0,0.0,0.0835643112659454,0.1270122363172993,0.294775340090343,0.0056435348699137,106,300,431,537,678,34.045276655207715,6.001673610192041,404.1045413448045,0.5051306766810056,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=37
N-MNIST,SNN-DFA,20260901,H2,completed_epoch_100,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.25,0.25,global_frobenius_norm_matched,0.0238456446188054,0.0797758443145639,279.64818864070577,2.146022195760919,0.0,0.0,0.1676324307918548,0.2058787328261657,0.284474600908545,0.0052067358527241,93,287,420,529,675,24.15140301891392,5.872355299979048,355.08432624257705,0.4438554078032213,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=38
N-MNIST,SNN-DFA,20260901,H2,completed_epoch_100,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.5,0.5,global_frobenius_norm_matched,0.0322677665751438,0.0797300104685307,279.4875215599485,2.1605572738998933,0.0,0.0,0.3397183418273926,0.3700871177215733,0.2514593707839252,0.0042374316523008,62,252,390,505,665,14.842586320567015,5.52917727419503,251.93655103325156,0.3149206887915644,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=39
N-MNIST,SNN-DFA,20260901,H2,completed_epoch_100,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.75,0.75,global_frobenius_norm_matched,0.0456138393664004,0.079700194473571,279.3830038446729,2.194984701227673,0.0,0.0,0.6784089207649231,0.6934856560252677,0.156957242923267,0.0021168893577204,8,130,273,407,620,8.087222958592992,4.5359972155104265,93.31652560777272,0.1166456570097159,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=40
N-MNIST,SNN-DFA,20260901,H2,completed_epoch_100,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_1,1.0,global_frobenius_norm_matched,0.0558508267330659,0.079684079784939,279.3265150224762,2.215433843234912,0.0,0.0,1.0,0.999999999999064,0.0,0.0,4,13,31,56,133,5.607789703788375,3.118702595021587,22.61701716911205,0.02827127146139,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=41
