control_scope,dataset,source_model,seed,layer,probe_split,N,T,D,coordinate_system,offline_only,family,condition,alpha,scale_mode,mask_seed,target_zero_fraction,achieved_zero_fraction,mask_replicate,marginal_preservation_check,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,normalized_entropy_effective_rank,mean_abs_g,rms_g,exact_zero_fraction,near_zero_fraction,temporal_gate_cosine,adjacent_timestep_cosine,checkpoint_sha256,method,epoch100_test_accuracy,selected_test_accuracy,source_file
offline_post_hoc,N-MNIST,SNN-DFA,20260831,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.25,nan,unscaled,nan,0.25,0.25,nan,nan,130,331,457,554,682,50.005244894574886,6.159162394303104,473.0316948105404,0.5912896185131755,0.0124395828323672,0.0645126111684623,0.25,0.25,0.0574600845575332,0.1057545905606294,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=34
offline_post_hoc,N-MNIST,SNN-DFA,20260831,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.25,nan,global_frobenius_norm_matched,nan,0.25,0.25,nan,nan,130,331,457,554,682,50.005244894574886,6.159162394303104,473.0316948105404,0.5912896185131755,0.0124395828323672,0.0645126111684623,0.25,0.25,0.0574600845575332,0.1057545905606294,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=35
offline_post_hoc,N-MNIST,SNN-DFA,20260831,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.50,nan,unscaled,nan,0.5,0.5,nan,nan,131,331,457,554,682,50.241447975271846,6.159876720492547,473.36971445234826,0.5917121430654353,0.0123707355326074,0.0645124430962793,0.5,0.5,0.0570313483476638,0.105579259372582,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=36
offline_post_hoc,N-MNIST,SNN-DFA,20260831,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.50,nan,global_frobenius_norm_matched,nan,0.5,0.5,nan,nan,131,331,457,554,682,50.241447975271846,6.159876720492547,473.36971445234826,0.5917121430654353,0.0123707355326074,0.0645124430962793,0.5,0.5,0.0570313483476638,0.105579259372582,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=37
offline_post_hoc,N-MNIST,SNN-DFA,20260831,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.75,nan,unscaled,nan,0.75,0.75,nan,nan,131,331,457,554,682,51.80423874657861,6.164293360842853,475.4650419817901,0.5943313024772376,0.0120888295502204,0.0645094852000294,0.75,0.75,0.0548569373786449,0.1031374354265438,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=38
offline_post_hoc,N-MNIST,SNN-DFA,20260831,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.75,nan,global_frobenius_norm_matched,nan,0.75,0.75,nan,nan,131,331,457,554,682,51.80423874657861,6.164293360842853,475.4650419817901,0.5943313024772376,0.0120888367455344,0.0645095236282036,0.75,0.75,0.0548569373786449,0.1031374354265438,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=39
offline_post_hoc,N-MNIST,SNN-DFA,20260831,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,ann_matched,nan,unscaled,nan,0.87854638671875,0.87854638671875,nan,nan,133,333,459,555,683,56.17840228411755,6.175720899494875,480.92960088847,0.6011620011105875,0.0114888544555543,0.0644842830812818,0.87854638671875,0.87854638671875,0.0497517436742782,0.09461680561562,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=40
offline_post_hoc,N-MNIST,SNN-DFA,20260831,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,ann_matched,nan,global_frobenius_norm_matched,nan,0.87854638671875,0.87854638671875,nan,nan,133,333,459,555,683,56.17840228411755,6.175720899494875,480.92960088847,0.6011620011105875,0.0114897734428404,0.0644894411474936,0.87854638671875,0.87854638671875,0.0497517436742782,0.09461680561562,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=41
offline_post_hoc,N-MNIST,SNN-DFA,20260831,H2,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0,nan,unscaled,nan,0.0,0.0,nan,nan,107,296,424,526,660,35.1249940063122,5.999893953740518,403.3860136465792,0.504232517058224,0.0180047823872433,0.0783120073876308,0.0,0.0,0.0853692144155502,0.1299682950537547,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=42
offline_post_hoc,N-MNIST,SNN-DFA,20260831,H2,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0,nan,global_frobenius_norm_matched,nan,0.0,0.0,nan,nan,107,296,424,526,660,35.1249940063122,5.999893953740518,403.3860136465792,0.504232517058224,0.0180047823872433,0.0783120073876308,0.0,0.0,0.0853692144155502,0.1299682950537547,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=43
