dataset,method,seed,layer,width,probe_split,temporal_mode,checkpoint_rule,stable_rank,spectral_entropy,entropy_effective_rank,stable_rank_over_D,entropy_rank_over_D,checkpoint_sha256,source_file
N-MNIST,temporal ANN-DFA,20260908,H1,800,basis_eval,timestep,completed_epoch_100,9.479222643300744,5.526223921089165,251.19359108933168,0.0118490283041259,0.3139919888616646,072604c237c2e886f379d46bf801b4f1fde4a069ae7dd08428aa34fc079c1ecb,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=164
N-MNIST,temporal ANN-DFA,20260908,H2,800,basis_eval,timestep,completed_epoch_100,9.646108154228484,4.399611068849881,81.41919604457362,0.0120576351927856,0.101773995055717,072604c237c2e886f379d46bf801b4f1fde4a069ae7dd08428aa34fc079c1ecb,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=166
N-MNIST,temporal ANN-DFA,20260908,H3,800,basis_eval,timestep,completed_epoch_100,8.93377688886896,3.807059368118773,45.01786307017882,0.0111672211110862,0.0562723288377235,072604c237c2e886f379d46bf801b4f1fde4a069ae7dd08428aa34fc079c1ecb,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=168
N-MNIST,temporal ANN-DFA,20260909,H1,800,basis_eval,timestep,completed_epoch_100,24.71287021049585,5.946372349929966,382.3637382504408,0.0308910877631198,0.4779546728130509,81fd5ae699ebe89c5d21e5b3a8f967322f1c97a6d1f3042a2eccfcdc6da0dd0e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=176
N-MNIST,temporal ANN-DFA,20260909,H2,800,basis_eval,timestep,completed_epoch_100,10.07465246389669,4.600438698925214,99.52796887889556,0.0125933155798708,0.1244099610986194,81fd5ae699ebe89c5d21e5b3a8f967322f1c97a6d1f3042a2eccfcdc6da0dd0e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=178
N-MNIST,temporal ANN-DFA,20260909,H3,800,basis_eval,timestep,completed_epoch_100,6.53063312966606,3.71475707804648,41.04861426356701,0.0081632914120825,0.0513107678294587,81fd5ae699ebe89c5d21e5b3a8f967322f1c97a6d1f3042a2eccfcdc6da0dd0e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=180
N-MNIST,MeanGate,20260830,H1,800,basis_eval,timestep,completed_epoch_100,26.506219331148017,5.030308531336527,152.98020460213738,0.033132774163935,0.1912252557526717,01dd13b84fc1529257bc4f2248e91b56196e7f5c2918f6a8c2d3f135bfbb8def,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=188
N-MNIST,MeanGate,20260830,H2,800,basis_eval,timestep,completed_epoch_100,26.642001635206334,5.047923409856643,155.69880594387726,0.0333025020440079,0.1946235074298465,01dd13b84fc1529257bc4f2248e91b56196e7f5c2918f6a8c2d3f135bfbb8def,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=190
N-MNIST,MeanGate,20260830,H3,800,basis_eval,timestep,completed_epoch_100,25.927144888495448,5.0356598458379205,153.80104411581289,0.0324089311106193,0.1922513051447661,01dd13b84fc1529257bc4f2248e91b56196e7f5c2918f6a8c2d3f135bfbb8def,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=192
N-MNIST,MeanGate,20260831,H1,800,basis_eval,timestep,completed_epoch_100,26.499843196034284,5.0223743027795456,151.7712271879795,0.0331248039950428,0.1897140339849743,e3828627eaa748905bfcf0d20803a71acae440a27dee9ecaee8e4a17360ffc40,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=200
N-MNIST,MeanGate,20260831,H2,800,basis_eval,timestep,completed_epoch_100,31.967920180856368,5.0776630322516425,160.3987708305139,0.0399599002260704,0.2004984635381423,e3828627eaa748905bfcf0d20803a71acae440a27dee9ecaee8e4a17360ffc40,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=202
N-MNIST,MeanGate,20260831,H3,800,basis_eval,timestep,completed_epoch_100,24.301677570733823,5.013504252701888,150.43096170088404,0.0303770969634172,0.188038702126105,e3828627eaa748905bfcf0d20803a71acae440a27dee9ecaee8e4a17360ffc40,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=204
N-MNIST,MeanGate,20260901,H1,800,basis_eval,timestep,completed_epoch_100,25.03459055213854,5.024916761493527,152.15759021497365,0.0312932381901731,0.190196987768717,0f375c4e4900c40a1a6fbb1fe2881ddab1d8194400528405b6ba6218d9121d7a,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=212
N-MNIST,MeanGate,20260901,H2,800,basis_eval,timestep,completed_epoch_100,25.660755064033104,4.995912340545449,147.80773487662236,0.0320759438300413,0.1847596685957779,0f375c4e4900c40a1a6fbb1fe2881ddab1d8194400528405b6ba6218d9121d7a,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=214
N-MNIST,MeanGate,20260901,H3,800,basis_eval,timestep,completed_epoch_100,42.49524734481791,5.033362275982057,153.44808110690605,0.0531190591810223,0.1918101013836325,0f375c4e4900c40a1a6fbb1fe2881ddab1d8194400528405b6ba6218d9121d7a,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=216
N-MNIST,MeanGate,20260908,H1,800,basis_eval,timestep,completed_epoch_100,26.11457025854628,5.005622352756963,149.24994037228646,0.0326432128231828,0.186562425465358,4f6543e926f6caf3499bdb2eab1c969579baa9846b5a8022e7ea364f951cc4cd,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=224
N-MNIST,MeanGate,20260908,H2,800,basis_eval,timestep,completed_epoch_100,25.603922703413023,5.030100505929417,152.94838414264203,0.0320049033792662,0.1911854801783025,4f6543e926f6caf3499bdb2eab1c969579baa9846b5a8022e7ea364f951cc4cd,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=226
N-MNIST,MeanGate,20260908,H3,800,basis_eval,timestep,completed_epoch_100,32.557644757200364,4.93702803237456,139.3554735590298,0.0406970559465004,0.1741943419487872,4f6543e926f6caf3499bdb2eab1c969579baa9846b5a8022e7ea364f951cc4cd,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=228
N-MNIST,MeanGate,20260909,H1,800,basis_eval,timestep,completed_epoch_100,21.83510082801972,5.0288394420013525,152.75562801698723,0.0272938760350246,0.190944535021234,4fe3c1e770a5dd4feaf9d90eebd3c46dc0c459695f8834d3a925086fc5d60654,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=236
N-MNIST,MeanGate,20260909,H2,800,basis_eval,timestep,completed_epoch_100,29.59897902294325,5.023653907353336,151.96555865165757,0.036998723778679,0.1899569483145719,4fe3c1e770a5dd4feaf9d90eebd3c46dc0c459695f8834d3a925086fc5d60654,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=238
N-MNIST,MeanGate,20260909,H3,800,basis_eval,timestep,completed_epoch_100,21.888743891789066,5.013073365592923,150.36615690147696,0.0273609298647363,0.1879576961268462,4fe3c1e770a5dd4feaf9d90eebd3c46dc0c459695f8834d3a925086fc5d60654,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=240
N-MNIST,ShuffledGate,20260830,H1,800,basis_eval,timestep,completed_epoch_100,81.44989390316843,6.247531436874457,516.735654347156,0.1018123673789605,0.645919567933945,24d244f8706a1aa0070a87a7ad98a8b74e4936318e21ef2e65013e84971fac29,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=248
N-MNIST,ShuffledGate,20260830,H2,800,basis_eval,timestep,completed_epoch_100,43.778208014114895,6.002459959082033,404.4224334730123,0.0547227600176436,0.5055280418412653,24d244f8706a1aa0070a87a7ad98a8b74e4936318e21ef2e65013e84971fac29,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=250
N-MNIST,ShuffledGate,20260830,H3,800,basis_eval,timestep,completed_epoch_100,44.554835280171154,5.890865788742279,361.71832049091546,0.0556935441002139,0.4521479006136443,24d244f8706a1aa0070a87a7ad98a8b74e4936318e21ef2e65013e84971fac29,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=252
N-MNIST,ShuffledGate,20260831,H1,800,basis_eval,timestep,completed_epoch_100,87.20392297341388,6.2420978787388055,513.9355552681322,0.1090049037167673,0.6424194440851653,3cc680946d3d3d57547f7a6888864fddcff727bc1ef1cf30daff6768ea2e1c85,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=260
N-MNIST,ShuffledGate,20260831,H2,800,basis_eval,timestep,completed_epoch_100,47.62285107423707,5.989503328114126,399.2162811757863,0.0595285638427963,0.4990203514697328,3cc680946d3d3d57547f7a6888864fddcff727bc1ef1cf30daff6768ea2e1c85,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=262
N-MNIST,ShuffledGate,20260831,H3,800,basis_eval,timestep,completed_epoch_100,30.41035386558694,5.916035836371077,370.9383351916077,0.0380129423319836,0.4636729189895096,3cc680946d3d3d57547f7a6888864fddcff727bc1ef1cf30daff6768ea2e1c85,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=264
N-MNIST,ShuffledGate,20260901,H1,800,basis_eval,timestep,completed_epoch_100,103.17128366106432,6.244486353905396,515.1645447002244,0.1289641045763304,0.6439556808752804,5de9c6b1dd2a33bc7ada5f0431c39bf97831e179699f7cf6af09f3ba37944213,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=272
N-MNIST,ShuffledGate,20260901,H2,800,basis_eval,timestep,completed_epoch_100,59.017297045262936,6.03694981944939,418.6142365926215,0.0737716213065786,0.5232677957407769,5de9c6b1dd2a33bc7ada5f0431c39bf97831e179699f7cf6af09f3ba37944213,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=274
N-MNIST,ShuffledGate,20260901,H3,800,basis_eval,timestep,completed_epoch_100,52.66503260198126,5.830100988878012,340.39305324854547,0.0658312907524765,0.4254913165606818,5de9c6b1dd2a33bc7ada5f0431c39bf97831e179699f7cf6af09f3ba37944213,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=276
N-MNIST,ShuffledGate,20260908,H1,800,basis_eval,timestep,completed_epoch_100,81.0269818724345,6.249370951629935,517.6870720131417,0.1012837273405431,0.6471088400164271,4d69e086b10457295c0e51da08bcda190d63bf8bb19a0d30d9284a27653879cb,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=284
N-MNIST,ShuffledGate,20260908,H2,800,basis_eval,timestep,completed_epoch_100,69.73661380857699,6.031920273712816,416.5140829802015,0.0871707672607212,0.520642603725252,4d69e086b10457295c0e51da08bcda190d63bf8bb19a0d30d9284a27653879cb,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=286
N-MNIST,ShuffledGate,20260908,H3,800,basis_eval,timestep,completed_epoch_100,68.7078713395975,5.99533727195675,401.55209341501774,0.0858848391744968,0.5019401167687721,4d69e086b10457295c0e51da08bcda190d63bf8bb19a0d30d9284a27653879cb,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=288
N-MNIST,ShuffledGate,20260909,H1,800,basis_eval,timestep,completed_epoch_100,101.82728464214937,6.245465146357361,515.6690307213756,0.1272841058026866,0.6445862884017195,60b10a243add56995bb973da501c313d1203d82be1b61fe97e00a4ab6f6096e9,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=296
N-MNIST,ShuffledGate,20260909,H2,800,basis_eval,timestep,completed_epoch_100,87.19591715655474,6.062366415041462,429.390351317263,0.1089948964456934,0.5367379391465787,60b10a243add56995bb973da501c313d1203d82be1b61fe97e00a4ab6f6096e9,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=298
N-MNIST,ShuffledGate,20260909,H3,800,basis_eval,timestep,completed_epoch_100,50.30752703317938,5.918539928655512,371.8683629664731,0.0628844087914742,0.4648354537080914,60b10a243add56995bb973da501c313d1203d82be1b61fe97e00a4ab6f6096e9,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=300
