dataset,method,seed,layer,checkpoint,checkpoint_rule,width,probe_split,source_file,checkpoint_sha256,git_commit,provenance_status,temporal_mode,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,stable_rank_over_D,entropy_rank_over_D,input_csv
N-MNIST,SNN-DFA,20260901,H1,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,UNAVAILABLE,real_checkpoint_replay,timestep,128,333,463,562,692,49.5920722082469,6.156307662460865,471.6832418205877,0.0619900902603086,0.5896040522757346,01_spectral_metrics/dfa_trained_20260901.csv
N-MNIST,SNN-DFA,20260901,H1,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,UNAVAILABLE,real_checkpoint_replay,time-collapsed,5,22,46,75,155,6.301281462361301,3.456497324887396,31.705726932184305,0.0078766018279516,0.0396321586652303,01_spectral_metrics/dfa_trained_20260901.csv
N-MNIST,SNN-DFA,20260901,H2,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,UNAVAILABLE,real_checkpoint_replay,timestep,106,300,431,537,678,34.045276655207715,6.001673610192041,404.1045413448045,0.0425565958190096,0.5051306766810056,01_spectral_metrics/dfa_trained_20260901.csv
N-MNIST,SNN-DFA,20260901,H2,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,UNAVAILABLE,real_checkpoint_replay,time-collapsed,4,13,31,56,133,5.607787871300137,3.118696454211859,22.616878282739435,0.0070097348391251,0.0282710978534242,01_spectral_metrics/dfa_trained_20260901.csv
N-MNIST,SNN-DFA,20260901,H3,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,UNAVAILABLE,real_checkpoint_replay,timestep,95,273,404,516,685,41.68307580580713,5.969187366391296,391.1876493187913,0.0521038447572589,0.4889845616484891,01_spectral_metrics/dfa_trained_20260901.csv
N-MNIST,SNN-DFA,20260901,H3,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,UNAVAILABLE,real_checkpoint_replay,time-collapsed,5,19,39,64,140,5.676790954104822,3.3716461096955235,29.126432921454324,0.007095988692631,0.0364080411518179,01_spectral_metrics/dfa_trained_20260901.csv
N-MNIST,SNN-DFA,20260908,H1,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260908/epoch_100.pt,completed_epoch_100,800,basis_fit,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260908/epoch_100.pt,9aad88592135096912c2e9971ced9f74b63d546bdd69208e989abf481efd833e,UNAVAILABLE,real_checkpoint_replay,timestep,131,329,455,551,681,55.60986441143845,6.1623166065081305,474.5260927407844,0.069512330514298,0.5931576159259805,01_spectral_metrics/dfa_trained_20260908.csv
N-MNIST,SNN-DFA,20260908,H1,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260908/epoch_100.pt,completed_epoch_100,800,basis_fit,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260908/epoch_100.pt,9aad88592135096912c2e9971ced9f74b63d546bdd69208e989abf481efd833e,UNAVAILABLE,real_checkpoint_replay,time-collapsed,5,21,44,71,143,7.055255973476994,3.46227947496379,31.88958523950197,0.0088190699668462,0.0398619815493774,01_spectral_metrics/dfa_trained_20260908.csv
N-MNIST,SNN-DFA,20260908,H2,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260908/epoch_100.pt,completed_epoch_100,800,basis_fit,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260908/epoch_100.pt,9aad88592135096912c2e9971ced9f74b63d546bdd69208e989abf481efd833e,UNAVAILABLE,real_checkpoint_replay,timestep,104,292,419,523,664,31.107139602594216,5.977350712050054,394.3941192722716,0.0388839245032427,0.4929926490903394,01_spectral_metrics/dfa_trained_20260908.csv
N-MNIST,SNN-DFA,20260908,H2,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260908/epoch_100.pt,completed_epoch_100,800,basis_fit,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260908/epoch_100.pt,9aad88592135096912c2e9971ced9f74b63d546bdd69208e989abf481efd833e,UNAVAILABLE,real_checkpoint_replay,time-collapsed,4,11,26,46,109,5.266678677173192,3.0054799408040838,20.195906610022465,0.0065833483464664,0.025244883262528,01_spectral_metrics/dfa_trained_20260908.csv
