dataset,model,method,seed,epoch,probe_split,batch_index,layer,gate_mode,production_delta_relative_error,applied_gate_norm_ratio
nmnist,snn,dfa_trained,20260901,10,basis_fit,2,hidden_1,actual,5.216930176743517e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_fit,2,hidden_2,actual,5.06861219662369e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_fit,2,hidden_3,actual,5.064461561232748e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_fit,3,hidden_1,actual,5.126037905256454e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_fit,3,hidden_2,actual,5.1242643905879965e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_fit,3,hidden_3,actual,5.07034663144168e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_eval,0,hidden_1,actual,5.14319573596822e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_eval,0,hidden_2,actual,5.2250925364205614e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_eval,0,hidden_3,actual,5.18017166939444e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_eval,1,hidden_1,actual,5.128889668526426e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_eval,1,hidden_2,actual,5.09096302891976e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_eval,1,hidden_3,actual,5.095921196129893e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_eval,2,hidden_1,actual,5.1941992040838165e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_eval,2,hidden_2,actual,5.187833096442773e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_eval,2,hidden_3,actual,5.215043685780074e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_eval,3,hidden_1,actual,5.167218475321533e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_eval,3,hidden_2,actual,5.1839094794559066e-08,1.0
nmnist,snn,dfa_trained,20260901,10,basis_eval,3,hidden_3,actual,5.2386837978701806e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_fit,0,hidden_1,actual,5.0174673305036777e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_fit,0,hidden_2,actual,5.0865754275264414e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_fit,0,hidden_3,actual,5.1009784840516665e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_fit,1,hidden_1,actual,5.21262784047849e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_fit,1,hidden_2,actual,5.174013040232239e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_fit,1,hidden_3,actual,5.0504763038361495e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_fit,2,hidden_1,actual,5.291624205483458e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_fit,2,hidden_2,actual,5.131113312017988e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_fit,2,hidden_3,actual,5.184362450449954e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_fit,3,hidden_1,actual,5.275943948390705e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_fit,3,hidden_2,actual,5.20893088662433e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_fit,3,hidden_3,actual,5.2035851183518396e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_eval,0,hidden_1,actual,5.1290136582338164e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_eval,0,hidden_2,actual,5.195554919623646e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_eval,0,hidden_3,actual,5.189225049662127e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_eval,1,hidden_1,actual,5.2789104643125035e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_eval,1,hidden_2,actual,5.1467154094098084e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_eval,1,hidden_3,actual,5.101728817180629e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_eval,2,hidden_1,actual,5.1799773359562096e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_eval,2,hidden_2,actual,5.0834234599506096e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_eval,2,hidden_3,actual,5.042581818770486e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_eval,3,hidden_1,actual,5.281889414732178e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_eval,3,hidden_2,actual,5.1572250470144354e-08,1.0
nmnist,snn,dfa_trained,20260901,25,basis_eval,3,hidden_3,actual,5.038358708020496e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_fit,0,hidden_1,actual,5.0756966629705864e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_fit,0,hidden_2,actual,5.1015149438171654e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_fit,0,hidden_3,actual,5.139907344187122e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_fit,1,hidden_1,actual,5.1771635867226e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_fit,1,hidden_2,actual,5.0865967438085136e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_fit,1,hidden_3,actual,5.138692671380341e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_fit,2,hidden_1,actual,5.1992255833965835e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_fit,2,hidden_2,actual,5.024266158670798e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_fit,2,hidden_3,actual,5.1841112735928625e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_fit,3,hidden_1,actual,5.3278018441460524e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_fit,3,hidden_2,actual,5.1316874305484816e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_fit,3,hidden_3,actual,5.2141178485953794e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_eval,0,hidden_1,actual,5.1528669331446515e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_eval,0,hidden_2,actual,5.14526377060065e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_eval,0,hidden_3,actual,5.0991776134878826e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_eval,1,hidden_1,actual,5.2854456811246564e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_eval,1,hidden_2,actual,5.149868087528375e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_eval,1,hidden_3,actual,5.090581467470656e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_eval,2,hidden_1,actual,5.1771458231542056e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_eval,2,hidden_2,actual,5.31465182973534e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_eval,2,hidden_3,actual,5.2699245856047134e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_eval,3,hidden_1,actual,5.268871205998949e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_eval,3,hidden_2,actual,5.239848022142724e-08,1.0
nmnist,snn,dfa_trained,20260901,50,basis_eval,3,hidden_3,actual,5.307887107619536e-08,1.0
nmnist,snn,dfa_trained,20260901,75,basis_fit,0,hidden_1,actual,5.18153910888941e-08,1.0
nmnist,snn,dfa_trained,20260901,75,basis_fit,0,hidden_2,actual,4.9928878809168964e-08,1.0
nmnist,snn,dfa_trained,20260901,75,basis_fit,0,hidden_3,actual,5.17072322736567e-08,1.0
nmnist,snn,dfa_trained,20260901,75,basis_fit,1,hidden_1,actual,5.287729365477389e-08,1.0
nmnist,snn,dfa_trained,20260901,75,basis_fit,1,hidden_2,actual,5.2215998636029326e-08,1.0
nmnist,snn,dfa_trained,20260901,75,basis_fit,1,hidden_3,actual,5.22556540261121e-08,1.0
nmnist,snn,dfa_trained,20260901,75,basis_fit,2,hidden_1,actual,5.2297057351324845e-08,1.0
nmnist,snn,dfa_trained,20260901,75,basis_fit,2,hidden_2,actual,5.2034309305781796e-08,1.0
nmnist,snn,dfa_trained,20260901,75,basis_fit,2,hidden_3,actual,5.050552687180244e-08,1.0
nmnist,snn,dfa_trained,20260901,75,basis_fit,3,hidden_1,actual,5.085702170504192e-08,1.0
nmnist,snn,dfa_trained,20260901,75,basis_fit,3,hidden_2,actual,5.2120121551979544e-08,1.0
nmnist,snn,dfa_trained,20260901,75,basis_fit,3,hidden_3,actual,5.032567074181316e-08,1.0
nmnist,snn,dfa_trained,20260901,75,basis_eval,0,hidden_1,actual,5.069767539112036e-08,1.0
nmnist,snn,dfa_trained,20260901,75,basis_eval,0,hidden_2,actual,5.1915073129293894e-08,1.0
nmnist,snn,dfa_trained,20260901,75,basis_eval,0,hidden_3,actual,5.0847749122340247e-08,1.0
nmnist,snn,dfa_trained,20260901,75,basis_eval,1,hidden_1,actual,5.199973784897338e-08,1.0
nmnist,snn,dfa_trained,20260901,75,basis_eval,1,hidden_2,actual,5.1155804925429045e-08,1.0
